Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,20.277,20.303,19.903,20.153,2175
2017-01-03,20.153,20.153,19.903,19.903,1812
2017-01-04,19.903,19.903,19.903,19.903,697
2017-01-05,20.07,20.07,19.913,19.913,53
2017-01-09,20.319,20.319,20.053,20.053,398
2017-01-10,20.029,20.029,19.589,19.903,2286
2017-01-11,20.31,20.31,20.095,20.095,749
2017-01-12,20.319,20.319,19.903,19.913,846
2017-01-13,20.07,20.07,19.655,19.738,3808
2017-01-16,19.822,19.903,19.738,19.903,659
2017-01-17,19.903,20.07,19.903,20.07,985
2017-01-18,20.319,20.319,20.053,20.07,300
2017-01-19,20.31,20.31,19.946,19.946,116
2017-01-20,19.988,19.988,19.903,19.903,286
2017-01-23,20.211,20.211,19.748,19.748,252
2017-01-24,19.748,20.468,19.738,20.211,2074
2017-01-25,20.211,20.211,20.046,20.07,1214
2017-01-26,20.401,20.401,19.748,19.748,2969
2017-01-27,19.887,19.913,19.822,19.887,2250
2017-01-30,19.88,19.88,19.075,19.092,386
2017-01-31,18.453,19.862,18.42,19.764,2404
2017-02-01,19.822,19.822,19.099,19.631,2483
2017-02-02,19.605,19.605,19.489,19.489,371
2017-02-03,19.481,19.481,19.224,19.465,292
2017-02-06,19.407,19.465,19.141,19.465,426
2017-02-07,19.44,19.44,18.909,19.324,1343
2017-02-08,19.299,19.307,18.669,19.083,397
2017-02-09,19.059,19.241,18.66,19.116,3698
2017-02-10,19.192,19.192,19.157,19.157,485
2017-02-13,19.182,19.241,19.157,19.241,1097
2017-02-14,19.241,19.465,19.232,19.465,4491
2017-02-15,19.465,20.112,19.465,20.112,1097
2017-02-16,20.261,20.468,20.261,20.468,1803
2017-02-17,20.468,20.485,20.401,20.477,2753
2017-02-20,20.477,20.485,19.946,19.946,5108
2017-02-21,20.228,20.228,19.946,20.228,1055
2017-02-22,20.485,20.485,20.153,20.153,759
2017-02-23,20.178,20.477,20.17,20.277,92
2017-02-24,20.477,20.477,20.17,20.17,1156
2017-02-27,20.161,20.17,20.029,20.029,1126
2017-02-28,20.477,20.477,20.012,20.468,838
2017-03-01,20.468,20.468,20.236,20.459,166
2017-03-02,20.477,22.06,20.236,21.563,11213
2017-03-03,21.173,21.397,21.173,21.397,2702
2017-03-06,22.393,22.965,21.977,22.4,4125
2017-03-07,22.393,22.393,21.148,21.729,1741
2017-03-08,22.384,22.393,21.812,22.384,78237
2017-03-09,22.384,22.384,21.745,21.745,330
2017-03-10,22.284,22.393,21.986,22.226,423
2017-03-13,22.393,23.031,22.393,23.031,2267
2017-03-14,23.031,23.031,22.807,22.807,1237
2017-03-15,23.022,23.022,22.973,23.022,367
2017-03-16,22.973,22.973,22.774,22.973,476
2017-03-17,22.973,22.973,22.848,22.848,624
2017-03-20,22.848,23.015,22.393,22.393,1776
2017-03-21,22.226,22.226,22.018,22.226,650
2017-03-22,22.235,22.393,21.605,21.605,225
2017-03-23,22.675,22.675,22.675,22.675,1
2017-03-24,22.632,22.632,21.977,22.393,484
2017-03-27,22.06,22.06,21.605,21.605,407
2017-03-28,21.422,22.193,21.157,22.193,1425
2017-03-29,21.24,22.973,21.24,22.641,4532
2017-03-30,22.632,22.632,22.632,22.632,1
2017-03-31,22.632,22.956,22.632,22.956,247
2017-04-03,22.956,22.956,22.807,22.807,510
2017-04-04,22.807,22.807,21.663,22.707,120
2017-04-05,21.977,22.79,21.977,22.79,362
2017-04-06,22.6,22.79,22.6,22.79,102
2017-04-07,22.723,22.807,22.4,22.4,3301
2017-04-10,22.475,22.781,22.475,22.533,96
2017-04-11,22.542,22.542,22.151,22.167,579
2017-04-12,22.109,23.031,22.109,23.006,57982
2017-04-13,22.997,22.997,22.997,22.997,1
2017-04-18,22.997,22.997,22.558,22.558,545
2017-04-19,22.31,22.608,22.31,22.608,452
2017-04-20,23.031,23.031,22.956,22.965,478
2017-04-21,23.031,23.031,22.965,22.965,1717
2017-04-24,22.94,22.94,22.94,22.94,490
2017-04-25,23.181,23.346,23.015,23.056,7662
2017-04-26,23.113,23.951,23.113,23.934,674
2017-04-27,23.769,23.934,23.262,23.934,964
2017-04-28,23.951,26.125,23.951,25.626,24676
2017-05-02,25.626,25.626,25.178,25.61,672
2017-05-04,25.626,25.95,25.626,25.942,11343
2017-05-05,25.942,26.805,25.71,25.71,1647
2017-05-08,26.539,26.705,26.539,26.539,753
2017-05-09,26.805,28.844,26.805,27.285,9987
2017-05-10,27.46,27.493,26.805,27.077,1019
2017-05-11,25.887,27.959,25.887,26.492,1103
2017-05-12,26.06,27.138,26.06,27.053,4179
2017-05-15,27.57,27.57,26.431,27.182,731
2017-05-16,27.165,27.165,26.958,26.958,214
2017-05-17,27.32,27.32,27.32,27.32,3
2017-05-18,27.182,27.182,26.146,26.37,2535
2017-05-19,26.362,26.751,26.362,26.751,16350
2017-05-22,26.492,26.492,26.492,26.492,65
2017-05-23,26.146,26.465,26.146,26.275,742
2017-05-24,26.431,26.431,25.905,26.431,570
2017-05-25,26.751,26.751,26.103,26.362,4201
2017-05-26,26.707,26.707,26.146,26.492,621
2017-05-29,26.492,26.699,26.224,26.224,1066
2017-05-30,26.526,26.526,25.887,26.319,3756
2017-05-31,26.319,26.319,25.465,26.31,456
2017-06-01,25.499,25.974,25.499,25.974,278
2017-06-02,25.974,25.974,25.378,25.378,735
2017-06-05,24.981,25.378,24.602,24.637,15296
2017-06-06,24.678,25.025,23.48,23.988,63803
2017-06-07,24.127,24.507,23.782,24.161,5670
2017-06-08,24.205,24.205,23.73,23.903,30794
2017-06-09,23.842,25.283,23.842,25.007,1012
2017-06-12,25.007,25.007,24.161,24.161,2171
2017-06-13,23.859,24.678,23.859,24.584,1819
2017-06-14,24.921,24.921,24.247,24.584,1579
2017-06-16,24.3,24.566,24.205,24.566,1751
2017-06-19,24.42,24.507,24.42,24.507,165
2017-06-20,24.507,25.24,24.257,24.593,3976
2017-06-21,24.593,25.232,24.593,24.809,1071
